"second","first","ccf","rough_cor","lag","D","sd_D","b1","b2","signature_length","overlap","matches","mismatches","cms","cms2","non_cms","left_cms","right_cms","left_noncms","right_noncms","sum_peaks","H.H","D2.D","comparison","id.x","id.y","KM","rfscore","order","type"
"Unknown 1-Q/L2.dat","Gun 1-R3/B3/L2.dat",0.208474135185172,0.0100084723484884,-0.154799999999996,0.000892625632897854,0.00148283786630042,"Unknown 1-Q/L2.dat","Gun 1-R3/B3/L2.dat",1.9608,0.921052631578947,6.09080841638981,17.4200853584183,2.76854928017719,1.10741971207087,5.64975741354107,0,0,2.82487870677053,5.64975741354107,6.5058343502772,2.84814405855359,0.000892625632897854,"Gun 1-R3/B3/L2.dat|Unknown 1-Q/L2.dat",37,NA,FALSE,0.06,91,"KNM"
"Unknown 1-Q/L2.dat","Gun 1-A9/B3/L1.dat",0.211929325805977,0.00286843839433045,-0.0890099999999975,0.000748484363454803,0.00116983390423359,"Gun 1-A9/B3/L1.dat","Unknown 1-Q/L2.dat",1.934355,0.951317105701901,4.8908126085149,14.1165589670573,1.63027086950497,1.08684724633665,3.40744526791039,0,0,3.40744526791039,1.94711158166308,4.78350234671416,2.37531735824466,0.000748484363454803,"Gun 1-A9/B3/L1.dat|Unknown 1-Q/L2.dat",28,NA,FALSE,0.37,14.5,"KNM"
"Unknown 1-Q/L2.dat","Gun 1-F6/B3/L1.dat",0.198092022168581,0.0386662919235481,0.070949999999998,0.00085950113777567,0.00138536270310513,"Gun 1-F6/B3/L1.dat","Unknown 1-Q/L2.dat",1.92468,0.981903485254692,7.93713786808477,11.4991663104425,1.58742757361695,0.529142524538985,2.49981876313967,0,0,1.49989125788381,2.49981876313967,9.07276936695555,2.62799242174619,0.00085950113777567,"Gun 1-F6/B3/L1.dat|Unknown 1-Q/L2.dat",17,NA,FALSE,0.146666666666667,38.5,"KNM"
"Unknown 1-Q/L2.dat","Gun 1-C8/B3/L1.dat",0.12071354989167,-0.0404934831128155,-0.160604999999995,0.000799672443916399,0.00128443697855386,"Gun 1-C8/B3/L1.dat","Unknown 1-Q/L2.dat",1.92468,0.91387399463807,1.70559691628078,16.9338451117634,0.568532305426925,0.568532305426925,8.93730714231958,0,0,0.940769172875745,8.93730714231958,1.77270117739507,2.38604428084392,0.000799672443916399,"Gun 1-C8/B3/L1.dat|Unknown 1-Q/L2.dat",4,NA,FALSE,0.0466666666666667,110.5,"KNM"
"Unknown 1-Q/L2.dat","Gun 1-F6/B3/L2.dat",0.12444483063568,-0.105086042489633,-0.069659999999998,0.000868417155789604,0.00142421042311783,"Gun 1-F6/B3/L2.dat","Unknown 1-Q/L2.dat",1.886625,0.96034188034188,6.07129354428319,14.7421958500719,1.65580733025905,0.551935776753017,3.93125222668583,0,0,0.491406528335729,3.93125222668583,6.2067961791117,2.8465316906815,0.000868417155789604,"Gun 1-F6/B3/L2.dat|Unknown 1-Q/L2.dat",18,NA,FALSE,0.0833333333333333,70,"KNM"
"Unknown 1-Q/L2.dat","Gun 1-F6/B1/L2.dat",0.180437162504969,0.00729720994851204,0.0580499999999984,0.000872530028453779,0.00141342329570324,"Gun 1-F6/B1/L2.dat","Unknown 1-Q/L2.dat",1.954995,0.968327284724513,4.22592871386501,14.3097518491654,1.05648217846625,0.528241089233126,4.44095747043063,0,0,4.44095747043063,2.96063831362042,4.71126477286054,2.7763934634105,0.000872530028453779,"Gun 1-F6/B1/L2.dat|Unknown 1-Q/L2.dat",17,NA,FALSE,0.0633333333333333,88,"KNM"
"Unknown 1-Q/L2.dat","Gun 1-A9/B3/L2.dat",0.335037607006364,0.231542945579117,0.181889999999995,0.000774403621461688,0.00139135857227576,"Gun 1-A9/B3/L2.dat","Unknown 1-Q/L2.dat",1.930485,0.921483461409957,6.18356184405057,18.9071658158443,1.68642595746834,0.562141985822779,3.78143316316885,0,0,2.83607487237664,3.78143316316885,7.97706913470063,2.36802074185705,0.000774403621461688,"Gun 1-A9/B3/L2.dat|Unknown 1-Q/L2.dat",29,NA,FALSE,0.26,24,"KNM"
"Unknown 1-Q/L2.dat","Gun 1-C8/B3/L2.dat",0.286722431421334,0.0300534280824695,0.112229999999997,0.00126252302916767,0.00202352966538091,"Gun 1-C8/B3/L2.dat","Unknown 1-Q/L2.dat",1.93629,0.954696868754164,3.78671080889552,13.6383451816457,1.62287606095522,1.08191737397015,5.35792132136082,0,0,4.38375380838613,2.43541878243674,5.66444449089684,4.34227644984839,0.00126252302916767,"Gun 1-C8/B3/L2.dat|Unknown 1-Q/L2.dat",5,NA,FALSE,0.01,144,"KNM"
"Unknown 1-Q/L2.dat","Gun 1-A9/B3/L3.dat",0.19249629077636,4.41418694565182e-05,0.0851399999999976,0.00114303320987021,0.00188768761621322,"Gun 1-A9/B3/L3.dat","Unknown 1-Q/L2.dat",1.94403,0.961844724618447,4.8132074412187,15.1998784009728,1.06960165360416,0.534800826802078,7.84509852953435,0,0,7.84509852953435,0.490318658095897,4.66676026384325,4.2496774052548,0.00114303320987021,"Gun 1-A9/B3/L3.dat|Unknown 1-Q/L2.dat",30,NA,FALSE,0.05,106,"KNM"
"Unknown 1-Q/L2.dat","Gun 1-C8/B3/L3.dat",0.0951213613429177,-0.123758231803679,-0.114809999999997,0.00106200860344272,0.00148557375719901,"Gun 1-C8/B3/L3.dat","Unknown 1-Q/L2.dat",1.929195,0.937813440320963,6.63267421133358,14.4222102037137,1.6581685528334,1.10544570188893,5.7688840814855,0,0,1.92296136049516,2.40370170061896,5.33753244455046,3.11226989722792,0.00106200860344272,"Gun 1-C8/B3/L3.dat|Unknown 1-Q/L2.dat",6,NA,FALSE,0.103333333333333,54.5,"KNM"
"Unknown 1-Q/L2.dat","Gun 1-U10/B3/L5.dat",0.11437992607006,-0.519188105738813,-0.160604999999995,0.00219577178231522,0.00261607170696891,"Gun 1-U10/B3/L5.dat","Unknown 1-Q/L2.dat",1.93629,0.914390406395736,5.64804224735601,12.7003838338226,1.6944126742068,1.1296084494712,3.76307669150298,0,0,3.76307669150298,2.82230751862724,9.60378374625676,7.08127962528844,0.00219577178231522,"Gun 1-U10/B3/L5.dat|Unknown 1-Q/L2.dat",NA,NA,FALSE,0.176666666666667,33.5,"KNM"
"Unknown 1-Q/L2.dat","Gun 1-M2/B3/L4.dat",0.165981551978285,-0.0620195327378931,0.357974999999927,0.000863253799737354,0.00149556077804852,"Gun 1-M2/B3/L4.dat","Unknown 1-Q/L2.dat",1.764075,0.906764168190128,4.37609402350588,18.3449988710776,2.50062515628907,1.25031257814454,7.52615338300621,0,0,7.52615338300621,4.23346127794099,4.13133412208562,2.81120625208818,0.000863253799737354,"Gun 1-M2/B3/L4.dat|Unknown 1-Q/L2.dat",8,NA,FALSE,0.07,85.5,"KNM"
